site,subject_id,split,idx,original_mean,original_std,raw_mean,raw_std,enhanced_mean,enhanced_std,contrast_improvement,mae_raw,mae_enhanced
TMC,BM37nii,Test,228,0.438454,0.15964583,0.0,0.0,0.43829304,0.1579756,15797559.916973114,0.438454,0.08212552
TMC,BM142nii,Test,9,0.45356518,0.16556671,0.0,0.0,0.45344335,0.16503991,16503991.186618805,0.45356518,0.078414306
TMC,BM146_2nii,Test,57,0.4583077,0.17504305,0.0,0.0,0.45847374,0.17265724,17265723.645687103,0.4583077,0.10986512
TMC,BM146_2nii,Test,60,0.4079751,0.14712809,0.0,0.0,0.4081491,0.14660937,14660936.5940094,0.4079751,0.08234919
TMC,BM144nii,Test,25,0.4373458,0.15696244,0.0,0.0,0.43747967,0.156143,15614299.476146698,0.4373458,0.08986851
TMC,BM146_2nii,Test,63,0.42618778,0.16493753,0.0,0.0,0.42620546,0.16347197,16347196.698188782,0.42618778,0.0831262
TMC,BM152_2nii,Test,93,0.39353514,0.13854189,0.0,0.0,0.3935967,0.13795158,13795158.26702118,0.39353514,0.079712845
TMC,BM160nii,Test,185,0.45765442,0.17536877,0.0,0.0,0.45773107,0.17292915,17292915.284633636,0.45765442,0.09413767
TMC,BM39nii,Test,260,0.40800443,0.17787123,0.0,0.0,0.4081536,0.17436057,17436057.329177856,0.40800443,0.10798988
TMC,BM144nii,Test,46,0.4445108,0.1680628,0.0,0.0,0.44443095,0.1675197,16751970.35074234,0.4445108,0.07979789
VGH_Site3_Siemens,0074,Test,316,0.3784731,0.13456564,0.0,0.0,0.37803093,0.12939183,12939183.413982391,0.3784731,0.07035186
VGH_Site3_Siemens,0202,Test,358,0.4690307,0.13610603,0.0,0.0,0.46894404,0.1357362,13573619.723320007,0.4690307,0.082818456
VGH_Site3_Siemens,0123,Test,330,0.31676623,0.13638744,0.0,0.0,0.3172338,0.13515322,13515321.910381317,0.31676623,0.08825801
VGH_Site3_Siemens,0134,Test,354,0.4269559,0.15071997,0.0,0.0,0.42565513,0.14174701,14174701.273441315,0.4269559,0.09633881
VGH_Site3_Siemens,0420,Test,366,0.43646505,0.1342141,0.0,0.0,0.43509194,0.12688088,12688088.417053223,0.43646505,0.08412068
VGH_Site3_Siemens,0123,Test,347,0.39025632,0.12939508,0.0,0.0,0.39042255,0.12867072,12867072.224617004,0.39025632,0.08304514
VGH_Site3_Siemens,0074,Test,317,0.3721509,0.16786785,0.0,0.0,0.36935723,0.14477432,14477431.774139404,0.3721509,0.12309805
VGH_Site3_Siemens,0123,Test,345,0.29936698,0.11279437,0.0,0.0,0.29939508,0.11271692,11271692.06738472,0.29936698,0.07928733
VGH_Site3_Siemens,0202,Test,359,0.4542648,0.14864789,0.0,0.0,0.4541732,0.14750522,14750522.375106812,0.4542648,0.07985197
VGH_Site3_Siemens,0123,Test,322,0.34483385,0.13136381,0.0,0.0,0.34488055,0.12980941,12980940.93799591,0.34483385,0.08255997
VGH_Site4_GE,0668,Test,447,0.56236935,0.13697182,0.0,0.0,0.5619745,0.13530822,13530822.098255157,0.56236935,0.08539888
VGH_Site4_GE,0678,Test,457,0.45324555,0.1088357,0.0,0.0,0.45324135,0.108686365,10868636.518716812,0.45324555,0.06398403
VGH_Site4_GE,0748,Test,500,0.49416646,0.1154986,0.0,0.0,0.4941622,0.11547976,11547975.987195969,0.49416646,0.07946626
VGH_Site4_GE,0678,Test,455,0.55660164,0.13354711,0.0,0.0,0.55634356,0.13254315,13254314.661026001,0.55660164,0.093027025
VGH_Site4_GE,0752,Test,506,0.50027645,0.12289041,0.0,0.0,0.50021356,0.12262338,12262337.654829025,0.50027645,0.07097673
VGH_Site4_GE,0631,Test,413,0.50527126,0.12702616,0.0,0.0,0.5051525,0.12651445,12651444.971561432,0.50527126,0.0806425
VGH_Site4_GE,0646,Test,416,0.5345795,0.12613797,0.0,0.0,0.53264207,0.11614383,11614383.01205635,0.5345795,0.09171774
VGH_Site4_GE,0496,Test,390,0.5278902,0.1327191,0.0,0.0,0.52746946,0.13097927,13097926.97429657,0.5278902,0.07482335
VGH_Site4_GE,0678,Test,458,0.4484002,0.10948067,0.0,0.0,0.44841596,0.10927044,10927043.855190277,0.4484002,0.06327908
VGH_Site4_GE,0651,Test,421,0.54319096,0.13141389,0.0,0.0,0.543029,0.13054429,13054428.99465561,0.54319096,0.066885866
