site,subject_id,split,idx,original_mean,original_std,raw_mean,raw_std,enhanced_mean,enhanced_std,contrast_improvement,mae_raw,mae_enhanced
TMC,BM37nii,Test,228,0.438454,0.15964583,0.0,0.0,0.43829304,0.1579756,15797559.916973114,0.438454,0.08212552
TMC,BM142nii,Test,9,0.45356518,0.16556671,0.0,0.0,0.45344335,0.16503991,16503991.186618805,0.45356518,0.078414306
TMC,BM146_2nii,Test,57,0.4583077,0.17504305,0.0,0.0,0.45847374,0.17265724,17265723.645687103,0.4583077,0.10986512
TMC,BM146_2nii,Test,60,0.4079751,0.14712809,0.0,0.0,0.4081491,0.14660937,14660936.5940094,0.4079751,0.08234919
TMC,BM144nii,Test,25,0.4373458,0.15696244,0.0,0.0,0.43747967,0.156143,15614299.476146698,0.4373458,0.08986851
TMC,BM146_2nii,Test,63,0.42618778,0.16493753,0.0,0.0,0.42620546,0.16347197,16347196.698188782,0.42618778,0.0831262
TMC,BM152_2nii,Test,93,0.39353514,0.13854189,0.0,0.0,0.3935967,0.13795158,13795158.26702118,0.39353514,0.079712845
TMC,BM160nii,Test,185,0.45765442,0.17536877,0.0,0.0,0.45773107,0.17292915,17292915.284633636,0.45765442,0.09413767
TMC,BM39nii,Test,260,0.40800443,0.17787123,0.0,0.0,0.4081536,0.17436057,17436057.329177856,0.40800443,0.10798988
TMC,BM144nii,Test,46,0.4445108,0.1680628,0.0,0.0,0.44443095,0.1675197,16751970.35074234,0.4445108,0.07979789
VGH_Site3_Siemens,0134,Test,354,0.4269559,0.15071997,0.0,0.0,0.42565513,0.14174701,14174701.273441315,0.4269559,0.09633881
VGH_Site3_Siemens,0415,Test,361,0.46138796,0.16612795,0.0,0.0,0.46078154,0.16268854,16268853.843212128,0.46138796,0.08835083
VGH_Site3_Siemens,0123,Test,331,0.38235742,0.15161058,0.0,0.0,0.38288483,0.14756016,14756016.433238983,0.38235742,0.10053553
VGH_Site3_Siemens,0420,Test,365,0.46308887,0.14788231,0.0,0.0,0.46181747,0.14152744,14152744.41242218,0.46308887,0.093693905
VGH_Site3_Siemens,0420,Test,368,0.49030697,0.12888658,0.0,0.0,0.49012733,0.128097,12809699.773788452,0.49030697,0.09023925
VGH_Site3_Siemens,0123,Test,325,0.32940543,0.13641335,0.0,0.0,0.32969394,0.13530578,13530577.719211578,0.32940543,0.08492087
VGH_Site3_Siemens,0074,Test,316,0.3784731,0.13456564,0.0,0.0,0.37803093,0.12939183,12939183.413982391,0.3784731,0.07035186
VGH_Site3_Siemens,0420,Test,374,0.4834891,0.16987187,0.0,0.0,0.48146692,0.15989256,15989255.905151367,0.4834891,0.098294474
VGH_Site3_Siemens,0132,Test,351,0.35249624,0.15310995,0.0,0.0,0.35279426,0.15136811,15136811.137199402,0.35249624,0.06796976
VGH_Site3_Siemens,0420,Test,375,0.46233702,0.15959772,0.0,0.0,0.46029025,0.14822719,14822718.501091003,0.46233702,0.10270196
VGH_Site4_GE,0707,Test,475,0.44055355,0.10340402,0.0,0.0,0.4405678,0.103340365,10334036.499261856,0.44055355,0.06827638
VGH_Site4_GE,0488,Test,382,0.54055893,0.12243874,0.0,0.0,0.5395022,0.1165903,11659029.871225357,0.54055893,0.083983466
VGH_Site4_GE,0678,Test,459,0.44427624,0.107296534,0.0,0.0,0.44425783,0.10719638,10719638.31782341,0.44427624,0.05861549
VGH_Site4_GE,0678,Test,457,0.45324555,0.1088357,0.0,0.0,0.45324135,0.108686365,10868636.518716812,0.45324555,0.06398403
VGH_Site4_GE,0651,Test,434,0.53523684,0.13418011,0.0,0.0,0.5348891,0.13288708,13288708.03117752,0.53523684,0.07242445
VGH_Site4_GE,0716,Test,486,0.4866403,0.11088347,0.0,0.0,0.48482206,0.096160166,9616016.59655571,0.4866403,0.07384454
VGH_Site4_GE,0668,Test,451,0.54138064,0.13907012,0.0,0.0,0.53985137,0.13186847,13186846.673488617,0.54138064,0.079459496
VGH_Site4_GE,0707,Test,480,0.5988572,0.11644769,0.0,0.0,0.5973245,0.10959836,10959836.095571518,0.5988572,0.09058578
VGH_Site4_GE,0621,Test,410,0.503701,0.11219656,0.0,0.0,0.5035004,0.11106632,11106631.90484047,0.503701,0.066819794
VGH_Site4_GE,0744,Test,498,0.4605187,0.11058566,0.0,0.0,0.45986757,0.10652397,10652396.827936172,0.4605187,0.07566596
