,Site,file,mean Prob(GOOD),SD Prob(GOOD)
0,BCH,1.0,0.888,0.23
1,BCH,2.0,0.616,0.359
2,BCH,3.0,0.897,0.23
3,BCH,4.0,0.428,0.416
4,BCH,5.0,0.863,0.277
5,BCH,6.0,0.706,0.381
6,BCH,7.0,0.911,0.123
7,BCH,8.0,0.671,0.4
8,BCH,9.0,0.591,0.386
9,BCH,10.0,0.675,0.401
10,Cincinnati,11.0,0.963,0.017
11,Cincinnati,12.0,0.54,0.313
12,Cincinnati,13.0,0.767,0.22
13,Cincinnati,14.0,0.777,0.265
14,Cincinnati,15.0,0.877,0.2
15,Cincinnati,16.0,0.869,0.267
16,Cincinnati,17.0,0.895,0.22
17,Cincinnati,18.0,0.965,0.066
18,Cincinnati,19.0,0.733,0.302
19,Cincinnati,20.0,0.909,0.189
20,TMC,41.0,0.78,0.285
21,TMC,42.0,0.806,0.319
22,TMC,43.0,0.775,0.336
23,TMC,44.0,0.739,0.341
24,TMC,45.0,0.873,0.219
25,TMC,46.0,0.777,0.332
26,TMC,47.0,0.715,0.349
27,TMC,48.0,0.762,0.297
28,TMC,49.0,0.732,0.324
29,TMC,50.0,0.706,0.35
30,TVGH,31.0,0.334,0.365
31,TVGH,32.0,0.803,0.288
32,TVGH,33.0,0.402,0.404
33,TVGH,34.0,0.746,0.294
34,TVGH,35.0,0.337,0.229
35,TVGH,36.0,0.39,0.316
36,TVGH,37.0,0.313,0.259
37,TVGH,38.0,0.313,0.259
38,TVGH,39.0,0.491,0.359
39,TVGH,40.0,0.513,0.32
40,dHCP,21.0,0.651,0.374
41,dHCP,22.0,0.473,0.399
42,dHCP,23.0,0.466,0.378
43,dHCP,24.0,0.222,0.197
44,dHCP,25.0,0.459,0.317
45,dHCP,26.0,0.658,0.336
46,dHCP,27.0,0.429,0.297
47,dHCP,28.0,0.454,0.286
48,dHCP,29.0,0.635,0.365
49,dHCP,30.0,0.462,0.356
